Metric: 1;
featureCount;featureAdded;train;test;
1;22.0;1.0;0.492023809524;
2;23.0;1.0;0.49119047619;
3;33.0;1.0;0.500833333333;
4;275.0;1.0;0.519523809524;
5;277.0;1.0;0.513333333333;
6;165.0;1.0;0.530476190476;
7;41.0;1.0;0.508571428571;
8;35.0;1.0;0.526547619048;
9;276.0;1.0;0.523452380952;
10;319.0;1.0;0.508571428571;
11;36.0;1.0;0.512619047619;
12;331.0;1.0;0.52380952381;
13;231.0;1.0;0.5375;
14;330.0;1.0;0.53;
15;264.0;1.0;0.547142857143;
16;176.0;1.0;0.539285714286;
17;232.0;1.0;0.54869047619;
18;34.0;1.0;0.538333333333;
19;242.0;1.0;0.551071428571;
20;278.0;1.0;0.54380952381;


Metric: 2;
featureCount;featureAdded;train;test;
1;130.0;0.665;0.533333333333;
2;465.0;0.983207692308;0.537261904762;
3;464.0;0.999615384615;0.513333333333;
4;362.0;1.0;0.52869047619;
5;467.0;1.0;0.519047619048;
6;599.0;1.0;0.527738095238;
7;363.0;1.0;0.523571428571;
8;353.0;1.0;0.5225;
9;559.0;1.0;0.528333333333;
10;196.0;1.0;0.531666666667;
11;144.0;1.0;0.529761904762;
12;469.0;1.0;0.523095238095;
13;558.0;1.0;0.523214285714;
14;350.0;1.0;0.525833333333;
15;355.0;1.0;0.533333333333;
16;466.0;1.0;0.5175;
17;262.0;1.0;0.515833333333;
18;166.0;1.0;0.507738095238;
19;361.0;1.0;0.517619047619;
20;556.0;1.0;0.522261904762;


Metric: 3;
featureCount;featureAdded;train;test;
1;464.0;1.0;0.510476190476;
2;554.0;1.0;0.538571428571;
3;465.0;1.0;0.525;
4;0.0;1.0;0.560833333333;
5;555.0;1.0;0.546785714286;
6;556.0;1.0;0.527857142857;
7;129.0;1.0;0.546904761905;
8;101.0;1.0;0.557023809524;
9;584.0;1.0;0.561785714286;
10;582.0;1.0;0.553928571429;
11;479.0;1.0;0.55119047619;
12;130.0;1.0;0.553095238095;
13;585.0;1.0;0.550833333333;
14;442.0;1.0;0.543452380952;
15;462.0;1.0;0.540833333333;
16;466.0;1.0;0.526071428571;
17;446.0;1.0;0.542023809524;
18;447.0;1.0;0.548333333333;
19;30.0;1.0;0.552976190476;
20;467.0;1.0;0.545238095238;


Metric: 4;
featureCount;featureAdded;train;test;
1;470.0;0.999223076923;0.533928571429;
2;207.0;0.996123076923;0.522976190476;
3;390.0;1.0;0.494642857143;
4;4.0;1.0;0.504047619048;
5;41.0;1.0;0.487976190476;
6;345.0;1.0;0.485357142857;
7;3.0;1.0;0.494761904762;
8;9.0;1.0;0.499523809524;
9;164.0;1.0;0.504523809524;
10;306.0;1.0;0.499166666667;
11;241.0;1.0;0.518333333333;
12;350.0;1.0;0.507857142857;
13;349.0;1.0;0.52130952381;
14;335.0;1.0;0.529166666667;
15;391.0;1.0;0.516428571429;
16;395.0;1.0;0.507023809524;
17;133.0;1.0;0.508095238095;
18;60.0;1.0;0.51380952381;
19;472.0;1.0;0.51880952381;
20;268.0;1.0;0.515;


Metric: 5;
featureCount;featureAdded;train;test;
1;129.0;1.0;0.517857142857;
2;41.0;1.0;0.502619047619;
3;349.0;1.0;0.501666666667;
4;4.0;1.0;0.507261904762;
5;295.0;1.0;0.513333333333;
6;9.0;1.0;0.51880952381;
7;207.0;1.0;0.52;
8;334.0;1.0;0.520119047619;
9;262.0;1.0;0.51869047619;
10;241.0;1.0;0.520238095238;
11;1.0;1.0;0.507857142857;
12;328.0;1.0;0.519166666667;
13;55.0;1.0;0.524166666667;
14;70.0;1.0;0.505833333333;
15;336.0;1.0;0.515833333333;
16;67.0;1.0;0.512738095238;
17;340.0;1.0;0.505119047619;
18;451.0;1.0;0.503214285714;
19;92.0;1.0;0.505714285714;
20;98.0;1.0;0.515833333333;


Metric: 6;
featureCount;featureAdded;train;test;
1;470.0;0.999223076923;0.533928571429;
2;207.0;0.997484615385;0.521547619048;
3;390.0;1.0;0.502380952381;
4;4.0;1.0;0.509642857143;
5;3.0;1.0;0.48;
6;345.0;1.0;0.492023809524;
7;41.0;1.0;0.496547619048;
8;9.0;1.0;0.504404761905;
9;164.0;1.0;0.508214285714;
10;306.0;1.0;0.507619047619;
11;241.0;1.0;0.506666666667;
12;350.0;1.0;0.510714285714;
13;335.0;1.0;0.514404761905;
14;349.0;1.0;0.514880952381;
15;391.0;1.0;0.507976190476;
16;395.0;1.0;0.52119047619;
17;133.0;1.0;0.520952380952;
18;60.0;1.0;0.515476190476;
19;472.0;1.0;0.514761904762;
20;268.0;1.0;0.5225;


Metric: 7;
featureCount;featureAdded;train;test;
1;0.0;1.0;0.538571428571;
2;4.0;1.0;0.523333333333;
3;3.0;1.0;0.536071428571;
4;6.0;1.0;0.548928571429;
5;7.0;1.0;0.551666666667;
6;2.0;1.0;0.56880952381;
7;5.0;1.0;0.546071428571;
8;8.0;1.0;0.549404761905;
9;9.0;1.0;0.558095238095;
10;1.0;1.0;0.546666666667;
11;291.0;1.0;0.559166666667;
12;272.0;1.0;0.535;
13;349.0;1.0;0.551547619048;
14;174.0;1.0;0.552619047619;
15;130.0;1.0;0.554285714286;
16;20.0;1.0;0.547738095238;
17;185.0;1.0;0.556904761905;
18;164.0;1.0;0.547023809524;
19;163.0;1.0;0.548452380952;
20;169.0;1.0;0.555595238095;


Metric: 8;
featureCount;featureAdded;train;test;
1;0.0;1.0;0.538571428571;
2;3.0;1.0;0.495595238095;
3;2.0;1.0;0.495476190476;
4;4.0;1.0;0.535;
5;554.0;1.0;0.537142857143;
6;130.0;1.0;0.539642857143;
7;129.0;1.0;0.536071428571;
8;461.0;1.0;0.537023809524;
9;460.0;1.0;0.542738095238;
10;520.0;1.0;0.529761904762;
11;1.0;1.0;0.525;
12;42.0;1.0;0.536785714286;
13;41.0;1.0;0.526904761905;
14;9.0;1.0;0.53;
15;555.0;1.0;0.528928571429;
16;470.0;1.0;0.508452380952;
17;5.0;1.0;0.503928571429;
18;109.0;1.0;0.508571428571;
19;556.0;1.0;0.496547619048;
20;371.0;1.0;0.517857142857;


Metric: 9;
featureCount;featureAdded;train;test;
1;347.0;1.0;0.490476190476;
2;348.0;0.996123076923;0.494761904762;
3;341.0;1.0;0.486547619048;
4;342.0;1.0;0.486904761905;
5;271.0;1.0;0.489761904762;
6;325.0;1.0;0.47380952381;
7;73.0;1.0;0.47619047619;
8;39.0;1.0;0.480238095238;
9;270.0;1.0;0.516428571429;
10;40.0;1.0;0.514404761905;
11;326.0;1.0;0.509642857143;
12;66.0;1.0;0.524047619048;
13;72.0;1.0;0.514523809524;
14;238.0;1.0;0.518095238095;
15;205.0;1.0;0.513928571429;
16;105.0;1.0;0.524404761905;
17;215.0;1.0;0.5075;
18;237.0;1.0;0.506547619048;
19;17.0;1.0;0.516904761905;
20;67.0;1.0;0.507976190476;


