featname;eeg/phy;what;channels;waveband;pearson_r;lr coef;l1 coef;l2 coef;svm coef;rf importances;
DASM CP1,CP2;eeg;DASM;['CP1', 'CP2'];beta;0.0471246181791;0.00108064810862;0.0;0.0010918697883;0.0274119038739;0.00148581277382;
RASM CP1,CP2;eeg;RASM;['CP1', 'CP2'];beta;0.0309480096902;0.000752807286994;0.000356886657827;0.000757369549029;0.0491561234478;0.0018257924335;
DASM CP1,CP2;eeg;DASM;['CP1', 'CP2'];delta;0.0834497445478;0.00272951411159;0.0033096085702;0.00273030798401;0.0492160636164;0.0021128172604;
RASM CP1,CP2;eeg;RASM;['CP1', 'CP2'];delta;0.0099919551023;0.00062327145684;0.0;0.000626866636008;0.0216719510237;0.00192140947105;
LR P3,P4;eeg;LminR;['P3', 'P4'];alpha;0.0382803314113;0.00273403762107;0.00176198969294;0.00273061556785;0.0370207423149;0.00196530374964;
DASM P3,P4;eeg;DASM;['P3', 'P4'];gamma;0.0386180714966;3.45550744745e-05;0.000780140177847;1.93310044585e-05;0.0295747584407;0.00143192289978;
RASM P3,P4;eeg;RASM;['P3', 'P4'];gamma;0.0124978591072;0.000323418185302;0.0;0.000312738775618;0.0203353837338;0.00171455100515;
DASM P3,P4;eeg;DASM;['P3', 'P4'];theta;0.0185637493766;0.000198284709193;0.00051755805366;0.000211178449563;0.0169833346407;0.00186742429985;
RASM P3,P4;eeg;RASM;['P3', 'P4'];theta;0.0320642838658;0.00473764268396;0.00256736319382;0.00473594743589;0.0717166858971;0.00205206130036;
DASM P3,P4;eeg;DASM;['P3', 'P4'];alpha;0.0462940127453;0.00553091544291;0.00157630634628;0.00554186024951;0.0683550096322;0.00208815658199;
RASM P3,P4;eeg;RASM;['P3', 'P4'];alpha;0.0271874264489;0.00152741396464;0.000688825978106;0.00153356791536;0.0248932636574;0.00175122169423;
DASM P3,P4;eeg;DASM;['P3', 'P4'];beta;0.0327247382141;0.00178134069635;0.0;0.00178393041877;0.0201075303165;0.00175619964831;
RASM P3,P4;eeg;RASM;['P3', 'P4'];beta;0.0473660267994;0.00378747372145;0.00202368311718;0.00378314877983;0.0441820469278;0.00186188127077;
DASM P3,P4;eeg;DASM;['P3', 'P4'];delta;0.0224750864169;0.0027512373761;0.0;0.00274683592674;0.041500510683;0.00207857472705;
RASM P3,P4;eeg;RASM;['P3', 'P4'];delta;0.0466023638721;0.000245367074862;0.00188151953396;0.000261563873384;0.022348189215;0.00204085459943;
LR P7,P8;eeg;LminR;['P7', 'P8'];alpha;0.0476038957666;0.00165126189098;0.000505574647366;0.0016537980888;0.0158441449939;0.00154508308431;
DASM P7,P8;eeg;DASM;['P7', 'P8'];gamma;0.00769872589193;0.000151455157736;0.000754521151457;0.000137918555211;0.00941667814862;0.00127969362736;
RASM P7,P8;eeg;RASM;['P7', 'P8'];gamma;0.0351724336595;0.000114093745492;0.00334866148203;0.00010504454291;0.0220758384265;0.00165308154209;
DASM P7,P8;eeg;DASM;['P7', 'P8'];theta;0.0169565533858;0.000679543212575;0.0;0.000682665833421;0.0121983702061;0.00177445011985;
RASM P7,P8;eeg;RASM;['P7', 'P8'];theta;0.0381374890784;0.00372892156993;0.00176569725909;0.00373317058127;0.0832790765443;0.00205473080948;
DASM P7,P8;eeg;DASM;['P7', 'P8'];alpha;0.0361859674728;0.00289381600129;0.00132751162277;0.00290015159613;0.0876415621335;0.00217193500127;
RASM P7,P8;eeg;RASM;['P7', 'P8'];alpha;0.0460755726006;0.00144929681002;0.000309417072159;0.00145532251333;0.0159407185298;0.00155916803139;
DASM P7,P8;eeg;DASM;['P7', 'P8'];beta;0.0358104041715;0.00123132230455;0.0;0.00124042846559;0.0123421201178;0.00139276742642;
RASM P7,P8;eeg;RASM;['P7', 'P8'];beta;0.0585413125949;0.000343819156648;0.00233116573364;0.000343931824124;0.0337060247817;0.00193078331134;
DASM P7,P8;eeg;DASM;['P7', 'P8'];delta;0.0426639485632;0.00293622056677;0.0029241141685;0.00293260488313;0.0294614673823;0.0021247843406;
RASM P7,P8;eeg;RASM;['P7', 'P8'];delta;0.0665050206928;0.000881019841577;0.0;0.000888768260271;0.0201763663305;0.00196616614182;
LR PO3,PO4;eeg;LminR;['PO3', 'PO4'];alpha;0.0602925724395;0.00177553657889;0.00177195886611;0.00178341414816;0.0131127127198;0.0013987126958;
DASM PO3,PO4;eeg;DASM;['PO3', 'PO4'];gamma;0.0545033394704;0.00132822840746;0.0;0.00133158617256;0.0071563903018;0.00131067646768;
RASM PO3,PO4;eeg;RASM;['PO3', 'PO4'];gamma;0.0584416456953;0.000744622329269;0.0;0.000753679243112;0.0135030844191;0.00154398524328;
DASM PO3,PO4;eeg;DASM;['PO3', 'PO4'];theta;0.0565627375977;0.00090756669871;0.0;0.00089873190082;0.0117546189738;0.00167308617113;
RASM PO3,PO4;eeg;RASM;['PO3', 'PO4'];theta;0.0540330953097;0.000801331461343;0.00396747009468;0.000816090674381;0.0651690429898;0.00221733120615;
DASM PO3,PO4;eeg;DASM;['PO3', 'PO4'];alpha;0.0140436073673;0.00142470733795;0.00184504620158;0.00142596076633;0.0647082308201;0.00242357633117;
RASM PO3,PO4;eeg;RASM;['PO3', 'PO4'];alpha;0.0675640723318;0.000753833441708;0.0;0.00076143821783;0.00432795415476;0.00122761288929;
DASM PO3,PO4;eeg;DASM;['PO3', 'PO4'];beta;0.0692171449806;0.000875607936174;0.0;0.000868247227159;0.00381331497138;0.00140074650908;
RASM PO3,PO4;eeg;RASM;['PO3', 'PO4'];beta;0.0413469323499;0.00222823621125;0.0;0.00222669878915;0.0293770891473;0.00197559721866;
DASM PO3,PO4;eeg;DASM;['PO3', 'PO4'];delta;0.0434224046374;0.000356048251953;0.000925754193016;0.000352094330547;0.0296520978519;0.00199861957025;
RASM PO3,PO4;eeg;RASM;['PO3', 'PO4'];delta;0.0208388720851;9.10018916618e-05;0.000676923618838;8.92784568886e-05;0.0305200041683;0.00244943530948;
DCAU FC5,CP5;eeg;DCAU;['FC5', 'CP5'];gamma;0.000199639982544;0.000136832143321;0.00136689780513;0.000142477715651;0.0315707814274;0.00208508428164;
RCAU FC5,CP5;eeg;RCAU;['FC5', 'CP5'];gamma;0.00760850041261;0.000207525378922;0.00267885374196;0.000211702571704;0.0106898441862;0.00155516098111;
DCAU FC5,CP5;eeg;DCAU;['FC5', 'CP5'];theta;0.0131842767442;6.23028225356e-05;0.0;6.59860781306e-05;0.0234392166603;0.00223426111705;
RCAU FC5,CP5;eeg;RCAU;['FC5', 'CP5'];theta;0.0103851334345;0.000301580531807;0.00526645585053;0.000301945203938;0.0185850813062;0.00220165408983;
DCAU FC5,CP5;eeg;DCAU;['FC5', 'CP5'];alpha;8.31925976544e-05;0.00237533608651;0.00814647505232;0.0023798504174;0.0583632717427;0.0024329719447;
RCAU FC5,CP5;eeg;RCAU;['FC5', 'CP5'];alpha;0.0152241138065;0.00047672506057;0.00067821127069;0.000476809354686;0.0566475010919;0.00241186523238;
DCAU FC5,CP5;eeg;DCAU;['FC5', 'CP5'];beta;0.0101492142837;0.000145450273111;0.00177750153449;0.000140701360173;0.0139366355074;0.00185382402554;
RCAU FC5,CP5;eeg;RCAU;['FC5', 'CP5'];beta;0.0032405622361;0.000628431637132;0.0;0.000629549606518;0.0103548618005;0.00184832093637;
DCAU FC5,CP5;eeg;DCAU;['FC5', 'CP5'];delta;0.00904186089772;0.00217044248502;0.00234917515323;0.00217963156468;0.0314858653705;0.0020149345903;
RCAU FC5,CP5;eeg;RCAU;['FC5', 'CP5'];delta;0.0273358166662;0.00177049657581;0.0;0.00177958013722;0.0295399550027;0.00213938777462;
DCAU FC1,CP1;eeg;DCAU;['FC1', 'CP1'];gamma;0.0596158349834;0.00111980151648;0.00139748146126;0.00112249202245;0.0319167918501;0.0019009876316;
RCAU FC1,CP1;eeg;RCAU;['FC1', 'CP1'];gamma;0.0425872768121;0.00115523924387;0.00239265077613;0.00114898631078;0.0309592665217;0.00232918656867;
DCAU FC1,CP1;eeg;DCAU;['FC1', 'CP1'];theta;0.0257651461282;0.000382428220196;0.0;0.000396027656954;0.0109417399416;0.00158782003722;
RCAU FC1,CP1;eeg;RCAU;['FC1', 'CP1'];theta;0.0527236511088;0.000419940061621;0.0;0.000407496677004;0.0290957219765;0.0018517897744;
DCAU FC1,CP1;eeg;DCAU;['FC1', 'CP1'];alpha;0.0501927139962;0.000573937252261;0.00348115489575;0.000567107956772;0.0262880737008;0.00214573553594;
RCAU FC1,CP1;eeg;RCAU;['FC1', 'CP1'];alpha;0.0284346532068;0.0023051471973;0.00572292069714;0.00230492016749;0.0766561080007;0.00240332471313;
DCAU FC1,CP1;eeg;DCAU;['FC1', 'CP1'];beta;0.0613646869434;0.00447755128263;0.00298862507948;0.00446189538215;0.0766647162072;0.00231168665137;
RCAU FC1,CP1;eeg;RCAU;['FC1', 'CP1'];beta;0.0422596857987;0.000621657509213;0.0;0.000624360241209;0.0128776908566;0.00221533426788;
DCAU FC1,CP1;eeg;DCAU;['FC1', 'CP1'];delta;0.0426755516031;0.000529639926431;0.0;0.000527134779873;0.0103970001617;0.00204862231187;
RCAU FC1,CP1;eeg;RCAU;['FC1', 'CP1'];delta;0.0339774836438;0.000948806821086;0.00334373215332;0.00094857189406;0.0395857808484;0.00181745242839;
DCAU FC2,CP2;eeg;DCAU;['FC2', 'CP2'];gamma;0.0361664381407;0.00478963103131;0.001747164657;0.00479049421431;0.0370837744824;0.00179145686729;
RCAU FC2,CP2;eeg;RCAU;['FC2', 'CP2'];gamma;0.00712932015594;0.000619679508169;0.00387531062016;0.00061313077732;0.0368028850165;0.00175783736025;
DCAU FC2,CP2;eeg;DCAU;['FC2', 'CP2'];theta;0.0221560461088;0.000289268343821;0.000397734011452;0.000288342092771;0.0311956564703;0.00174066233526;
RCAU FC2,CP2;eeg;RCAU;['FC2', 'CP2'];theta;0.0466441440148;0.00191909103538;0.0;0.00191995032324;0.0256812373833;0.00118567597666;
DCAU FC2,CP2;eeg;DCAU;['FC2', 'CP2'];alpha;0.0244405564786;0.000359093785064;0.0;0.000359566674191;0.0219824762018;0.00178924599049;
RCAU FC2,CP2;eeg;RCAU;['FC2', 'CP2'];alpha;0.0303024962684;0.000233622766076;0.0;0.000219867331143;0.0216367892905;0.00167477612286;
DCAU FC2,CP2;eeg;DCAU;['FC2', 'CP2'];beta;0.0338144713565;0.00251977511843;0.00500417425181;0.00251596367122;0.0894923079836;0.00208570058442;
RCAU FC2,CP2;eeg;RCAU;['FC2', 'CP2'];beta;0.0177653597338;0.00223492856456;0.00487414211942;0.00223299258067;0.0929423485363;0.00211401778097;
DCAU FC2,CP2;eeg;DCAU;['FC2', 'CP2'];delta;0.0173186470859;0.000644193818996;0.0;0.000658818295368;0.0131914216242;0.00153059297417;
RCAU FC2,CP2;eeg;RCAU;['FC2', 'CP2'];delta;0.0278334716193;0.000727198085008;0.0;0.000721919164598;0.0126285331906;0.00166295693051;
DCAU FC6,CP6;eeg;DCAU;['FC6', 'CP6'];gamma;0.0341097744028;0.000751087056428;0.00269229304545;0.000748330671589;0.0410134888319;0.00186412018134;
RCAU FC6,CP6;eeg;RCAU;['FC6', 'CP6'];gamma;0.00454725158913;0.00207127944916;0.00181763712223;0.0020662516985;0.0382422462835;0.00219957836351;
DCAU FC6,CP6;eeg;DCAU;['FC6', 'CP6'];theta;0.0274248406299;0.00137104959717;0.00311254945321;0.00137486685644;0.0401204419136;0.00140653727406;
RCAU FC6,CP6;eeg;RCAU;['FC6', 'CP6'];theta;0.0515845332568;0.00175239546161;0.00187872248398;0.0017509458978;0.031041379256;0.00146578837811;
DCAU FC6,CP6;eeg;DCAU;['FC6', 'CP6'];alpha;0.0147006612208;0.000626664772057;0.000872234521507;0.000623553522969;0.0250494424011;0.00211833962042;
RCAU FC6,CP6;eeg;RCAU;['FC6', 'CP6'];alpha;0.0156368117481;0.000673664201437;0.00188978960025;0.000673858199721;0.0218169888187;0.00206100050018;
DCAU FC6,CP6;eeg;DCAU;['FC6', 'CP6'];beta;0.0415661032388;0.00521800913335;0.00637119547566;0.00521701551067;0.052215049792;0.00174721659358;
RCAU FC6,CP6;eeg;RCAU;['FC6', 'CP6'];beta;0.0295813534453;0.00661133007189;0.00143777066188;0.00661912342828;0.0502419583228;0.00210504266414;
DCAU FC6,CP6;eeg;DCAU;['FC6', 'CP6'];delta;0.0261179842382;0.0011753289203;0.00518519450961;0.00117845356921;0.0307225582841;0.00168818935728;
RCAU FC6,CP6;eeg;RCAU;['FC6', 'CP6'];delta;0.0253101608292;0.000663831939854;0.0;0.000672824747351;0.0258062244399;0.00173799691611;
DCAU F7,P7;eeg;DCAU;['F7', 'P7'];gamma;0.0567601083038;0.0015429069672;0.000268389590176;0.0015343790918;0.0345609429087;0.00188766631536;
RCAU F7,P7;eeg;RCAU;['F7', 'P7'];gamma;0.0133811708542;0.00190346190336;0.00053763336406;0.0019045249772;0.0319806368662;0.00196072317934;
DCAU F7,P7;eeg;DCAU;['F7', 'P7'];theta;0.0294454283178;0.00276350940369;0.00103901969992;0.00275425416202;0.0224043175732;0.00138506675305;
RCAU F7,P7;eeg;RCAU;['F7', 'P7'];theta;0.0389043621595;0.00199148491658;0.0;0.00198823681111;0.0119061187692;0.00125324396406;
DCAU F7,P7;eeg;DCAU;['F7', 'P7'];alpha;0.0498163741583;0.00194685382897;0.0;0.00193157346376;0.0195813601431;0.00163198912671;
RCAU F7,P7;eeg;RCAU;['F7', 'P7'];alpha;0.0533697638231;0.00210950365092;0.0;0.0021108638923;0.0174441773667;0.00149985428951;
DCAU F7,P7;eeg;DCAU;['F7', 'P7'];beta;0.0191055378912;0.00220284252982;0.00122543854442;0.00220244908371;0.0597315858981;0.00209737490565;
RCAU F7,P7;eeg;RCAU;['F7', 'P7'];beta;0.0446601384531;0.000876678136113;0.00398404625154;0.000866718723915;0.0613210841937;0.00204799880462;
DCAU F7,P7;eeg;DCAU;['F7', 'P7'];delta;0.0452616193443;3.53232723943e-05;0.00143388793495;4.00476514628e-05;0.0150371385447;0.00152259295334;
RCAU F7,P7;eeg;RCAU;['F7', 'P7'];delta;0.0462470804342;1.18567247428e-05;0.0;1.88708681872e-05;0.01222785451;0.00142414014139;
DCAU F3,P3;eeg;DCAU;['F3', 'P3'];gamma;0.0236329381041;0.00249184417836;0.0040597370377;0.00248546261057;0.0395134181099;0.00160149850122;
RCAU F3,P3;eeg;RCAU;['F3', 'P3'];gamma;0.00579089022276;0.000514807452447;0.000558950077684;0.000514901670582;0.0333607039946;0.00165191796529;
DCAU F3,P3;eeg;DCAU;['F3', 'P3'];theta;0.0210305339174;0.00271155247421;0.00597508193901;0.00271386210934;0.0239400856236;0.0018455317497;
RCAU F3,P3;eeg;RCAU;['F3', 'P3'];theta;0.0439746950061;0.000620134552797;0.00376270430428;0.000621732317625;0.0110121501138;0.00129631413085;
DCAU F3,P3;eeg;DCAU;['F3', 'P3'];alpha;0.00356392177609;0.00219431993383;0.00257146310449;0.00217392973455;0.024922221052;0.00172571008741;
RCAU F3,P3;eeg;RCAU;['F3', 'P3'];alpha;0.0235222214758;0.00229368457007;0.00357473017036;0.00228008339964;0.0243737262395;0.00171839491443;
DCAU F3,P3;eeg;DCAU;['F3', 'P3'];beta;0.0308079537519;2.1158355091e-05;0.00177032056892;2.25247258425e-05;0.0894116802689;0.00215511012892;
RCAU F3,P3;eeg;RCAU;['F3', 'P3'];beta;0.0355234794169;0.000938392448903;0.00302204843983;0.000936264021538;0.089604462626;0.00230141988276;
DCAU F3,P3;eeg;DCAU;['F3', 'P3'];delta;0.0144539651805;0.00072093677497;0.0;0.000714492206557;0.0204827153698;0.00182878148539;
RCAU F3,P3;eeg;RCAU;['F3', 'P3'];delta;0.0332622587989;0.000510247531666;0.0;0.000504894789232;0.0207401564596;0.00189928227379;
DCAU Fz,Pz;eeg;DCAU;['Fz', 'Pz'];gamma;0.0203676537999;0.00293512230819;0.00424734526274;0.00295053547305;0.0274800950414;0.00239765184954;
RCAU Fz,Pz;eeg;RCAU;['Fz', 'Pz'];gamma;0.032755090822;0.000556452890305;0.000441881541185;0.000556592069557;0.0232580224544;0.00214790010704;
DCAU Fz,Pz;eeg;DCAU;['Fz', 'Pz'];theta;0.039784316889;0.00110372489648;0.0;0.0010930495738;0.0200865535479;0.00140729157303;
RCAU Fz,Pz;eeg;RCAU;['Fz', 'Pz'];theta;0.0353124604687;0.00079723919812;0.0;0.00080019464545;0.0136390557633;0.00117880607786;
DCAU Fz,Pz;eeg;DCAU;['Fz', 'Pz'];alpha;0.017074219044;0.00105383224051;0.00157991616351;0.00105047822755;0.0340314079194;0.00166614135464;
RCAU Fz,Pz;eeg;RCAU;['Fz', 'Pz'];alpha;0.000331562479346;0.00102270093812;0.0010349306826;0.00100938117886;0.0325780491018;0.00174158523769;
DCAU Fz,Pz;eeg;DCAU;['Fz', 'Pz'];beta;0.00406314274911;0.000796974981966;0.0106527155283;0.000802612032216;0.0701231833696;0.0018670173704;
RCAU Fz,Pz;eeg;RCAU;['Fz', 'Pz'];beta;0.0170649602467;0.00145360045796;0.00186059536752;0.00144326962195;0.0746801112656;0.00184207316174;
DCAU Fz,Pz;eeg;DCAU;['Fz', 'Pz'];delta;0.0308020457471;0.000216736904249;0.0;0.000198797929151;0.0147107977362;0.00121985560689;
RCAU Fz,Pz;eeg;RCAU;['Fz', 'Pz'];delta;0.0135353021255;0.000376715394842;0.0;0.000368615388534;0.0132633859438;0.00115802054339;
DCAU F4,P4;eeg;DCAU;['F4', 'P4'];gamma;0.00162313075229;0.00576063626186;0.00599053898743;0.00576425136997;0.0341164563546;0.00134186167734;
RCAU F4,P4;eeg;RCAU;['F4', 'P4'];gamma;0.000245253542609;0.00169217880359;0.00235936395455;0.00168767126698;0.0325423344778;0.00147888802828;
DCAU F4,P4;eeg;DCAU;['F4', 'P4'];theta;0.01258011022;0.00110241618762;0.0;0.00109696953449;0.0279457049452;0.00164901640426;
RCAU F4,P4;eeg;RCAU;['F4', 'P4'];theta;0.0103935065531;0.000694486245245;0.0;0.000712136451075;0.0176463203946;0.00113588350826;
DCAU F4,P4;eeg;DCAU;['F4', 'P4'];alpha;0.0492460097782;0.0025263047434;0.00263107328326;0.00253016011268;0.0426048651566;0.00129416165082;
RCAU F4,P4;eeg;RCAU;['F4', 'P4'];alpha;0.0524311879127;0.00245153246426;0.0;0.00244806210655;0.0315198685934;0.00119594838373;
DCAU F4,P4;eeg;DCAU;['F4', 'P4'];beta;0.0307208883642;0.000148991108575;0.0;0.000160428532242;0.0363222918451;0.00183898005802;
RCAU F4,P4;eeg;RCAU;['F4', 'P4'];beta;0.00574641594807;0.00309039128317;0.000536137270026;0.00307732089691;0.0370971682029;0.00168338059861;
DCAU F4,P4;eeg;DCAU;['F4', 'P4'];delta;0.0337190747099;1.15544501707e-05;0.000969197554744;4.07527034023e-06;0.022075951652;0.00147399619475;
RCAU F4,P4;eeg;RCAU;['F4', 'P4'];delta;0.0427081457113;0.000142039609161;0.0;0.000136779783514;0.0190091786808;0.00130511959588;
DCAU F8,P8;eeg;DCAU;['F8', 'P8'];gamma;0.0584659062478;0.000574629659754;0.00185033338406;0.000580017328666;0.0384872952105;0.00173174202501;
RCAU F8,P8;eeg;RCAU;['F8', 'P8'];gamma;0.072241241316;0.00124930377565;0.00204118488394;0.00125574752993;0.0342189824454;0.00149965347928;
DCAU F8,P8;eeg;DCAU;['F8', 'P8'];theta;0.0563941132118;0.000404833233788;0.00264867325794;0.000407755708797;0.0305496609742;0.00181878640439;
RCAU F8,P8;eeg;RCAU;['F8', 'P8'];theta;0.0828660597665;0.00042226109841;0.0;0.000426470251303;0.0101285108372;0.00112928046134;
DCAU F8,P8;eeg;DCAU;['F8', 'P8'];alpha;0.0662612090106;0.000626600623256;0.00287814996997;0.000624827242651;0.0219697533894;0.00165189842963;
RCAU F8,P8;eeg;RCAU;['F8', 'P8'];alpha;0.0716908591317;0.000509323143355;0.0;0.000509592570845;0.0184780438984;0.0017608598026;
DCAU F8,P8;eeg;DCAU;['F8', 'P8'];beta;0.0503535111581;0.00282626460397;0.00766064052475;0.0028310198042;0.082248775524;0.00268035105857;
RCAU F8,P8;eeg;RCAU;['F8', 'P8'];beta;0.0191137940019;0.00406871108966;0.00186664461008;0.00407686490274;0.0816716753591;0.0026707107424;
DCAU F8,P8;eeg;DCAU;['F8', 'P8'];delta;0.0621916625559;0.000512564969786;0.0;0.000525369408732;0.0127107127435;0.00154331020218;
RCAU F8,P8;eeg;RCAU;['F8', 'P8'];delta;0.0670297353225;0.000718602187622;0.0;0.000717707397786;0.0105914399155;0.0015491461116;
DCAU Fp1,O1;eeg;DCAU;['Fp1', 'O1'];gamma;0.0652951990321;0.000955186787126;0.00275122216618;0.000955758210003;0.039878220932;0.00194107110901;
RCAU Fp1,O1;eeg;RCAU;['Fp1', 'O1'];gamma;0.0595286535313;0.000333595479182;0.000108912961235;0.000330710509841;0.0378619113415;0.00206939197873;
DCAU Fp1,O1;eeg;DCAU;['Fp1', 'O1'];theta;0.00344608792376;0.00172512197337;0.0;0.00172547776234;0.0207703744227;0.00213839060229;
RCAU Fp1,O1;eeg;RCAU;['Fp1', 'O1'];theta;0.0129155065309;0.00185735008578;0.00154878496954;0.00186201864226;0.0133128649542;0.00157958044449;
DCAU Fp1,O1;eeg;DCAU;['Fp1', 'O1'];alpha;0.00675249647234;0.0013705936562;0.00480337137484;0.00137356832572;0.0238951840113;0.00256563945961;
RCAU Fp1,O1;eeg;RCAU;['Fp1', 'O1'];alpha;0.0151197445716;0.00176782017959;0.0;0.00175933468265;0.017049717373;0.00221647948599;
DCAU Fp1,O1;eeg;DCAU;['Fp1', 'O1'];beta;0.0259415959946;0.00423388028316;0.00212817615442;0.00423188713156;0.0638826866275;0.00217470084937;
RCAU Fp1,O1;eeg;RCAU;['Fp1', 'O1'];beta;0.0336143286092;0.00279968158993;0.00167649096674;0.00280471360169;0.0626259432896;0.00208760150828;
DCAU Fp1,O1;eeg;DCAU;['Fp1', 'O1'];delta;0.00465671324668;0.000977516095744;0.0;0.000992212365372;0.0239929517039;0.0022293701656;
RCAU Fp1,O1;eeg;RCAU;['Fp1', 'O1'];delta;0.00705715850353;0.00109556437417;0.0;0.00109387800116;0.0226805144671;0.002141872331;
DCAU Fp2,O2;eeg;DCAU;['Fp2', 'O2'];gamma;0.00804249758889;0.00156665648238;0.000955228603323;0.0015593691144;0.0503151372589;0.0021952390165;
RCAU Fp2,O2;eeg;RCAU;['Fp2', 'O2'];gamma;0.00450513285912;0.00011408089576;0.0;0.000126618443455;0.0329552172409;0.00221116062919;
DCAU Fp2,O2;eeg;DCAU;['Fp2', 'O2'];theta;0.0199177259796;0.000128490991428;0.0;0.000137942003486;0.0143548726899;0.00145387193374;
RCAU Fp2,O2;eeg;RCAU;['Fp2', 'O2'];theta;0.0123672699807;0.000103147324234;0.00244065366363;0.000109623193709;0.00903279222331;0.00124994247042;
DCAU Fp2,O2;eeg;DCAU;['Fp2', 'O2'];alpha;0.0419852776898;0.00460815580845;0.00324585537568;0.00462038373967;0.0297265401262;0.00151882113861;
RCAU Fp2,O2;eeg;RCAU;['Fp2', 'O2'];alpha;0.0204085945976;0.00316736649178;0.0;0.00316572344689;0.0197611210469;0.00140366129134;
DCAU Fp2,O2;eeg;DCAU;['Fp2', 'O2'];beta;0.0286622462546;0.00119395204145;0.00197782044094;0.00119858819468;0.0509617535327;0.00241930174517;
RCAU Fp2,O2;eeg;RCAU;['Fp2', 'O2'];beta;0.022943470889;0.000566821543366;0.00106616309277;0.000568158054656;0.0524098276885;0.00258615144533;
DCAU Fp2,O2;eeg;DCAU;['Fp2', 'O2'];delta;0.0299473116324;0.00148411571845;0.000469533500142;0.00150208903977;0.0165400389369;0.00138723763493;
RCAU Fp2,O2;eeg;RCAU;['Fp2', 'O2'];delta;0.00604170930498;0.00105145799472;0.0;0.00105688159407;0.012959682802;0.00133543068458;
