arousal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel,Fp1,AF3,F3,F7,FC5,FC1,C3,T7,CP5,CP1,P3,P7,PO3,O1,Oz,Pz,Fp2,AF4,Fz,F4,F8,FC6,FC2,Cz,C4,T8,CP6,CP2,P4,P8,PO4,O2,
count,1,1,0,2,1,2,0,3,2,4,3,4,2,0,1,1,0,2,0,2,0,1,7,1,1,2,1,1,2,0,1,4,
arousal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pair,Fp1-Fp2,AF3-AF4,F3-F4,F7-F8,FC5-FC6,FC1-FC2,C3-C4,T7-T8,CP5-CP6,CP1-CP2,P3-P4,P7-P8,PO3-PO4,
count,7,2,3,6,1,4,1,2,4,1,4,1,0,
valence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel,Fp1,AF3,F3,F7,FC5,FC1,C3,T7,CP5,CP1,P3,P7,PO3,O1,Oz,Pz,Fp2,AF4,Fz,F4,F8,FC6,FC2,Cz,C4,T8,CP6,CP2,P4,P8,PO4,O2,
count,3,1,2,2,0,3,0,2,0,4,2,0,2,0,1,1,0,0,1,0,4,2,2,1,0,0,2,1,2,1,0,1,
valence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pair,Fp1-Fp2,AF3-AF4,F3-F4,F7-F8,FC5-FC6,FC1-FC2,C3-C4,T7-T8,CP5-CP6,CP1-CP2,P3-P4,P7-P8,PO3-PO4,
count,6,0,3,3,5,3,5,2,3,1,2,3,4,